user_id;country;city;school
8404;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8405;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8406;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8407;Россия;Братск;"МБОУ ""СОШ № 14"""
8408;Россия;Астрахань;"МБОУ г. Астрахани ""СОШ №32"""
8409;Россия;Иркутск;РЖД лицей № 14
8410;Россия;Якутск;МАОУ СПЛ
8411;Россия;Череповец;"МОУ ""Ирдоматский центр образования"""
8412;Россия;Братск;"МБОУ ""СОШ № 14"""
8413;Россия;Красноярск;МАОУ СШ № 144
8414;Россия;Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково"
8415;Россия;Иваново;"МБОУ ""Лицей №33"""
8416;Россия;Ростов-на-Дону;МАОУ «Школа № 60»
8418;Россия;Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково"
8419;Россия;Красноярск;МАОУ СШ № 144
8420;Россия;Астрахань;МБОУ г.Астрахань «Начальная общеобразовательная школа №19»
8421;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8422;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8423;Россия;Калуга;"МБОУ ""СОШ № 10 с углубленным изучением отдельных предметов"" г. Калуги"
8424;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8425;Россия;Санкт-Петербург;ГБОУ школа №203 Красносельского района Санкт-Петербурга
8426;Россия;Санкт-Петербург;ГБОУ СОШ № 574 Невского района  Санкт-Петербурга
8427;Россия;Воронеж;"МБОУ Образовательный центр ""Содружество"""
8428;Россия;Красноярск;МАОУ СШ № 144
8429;Россия;Санкт-Петербург;ГБОУ СОШ № 219 Красносельского района Санкт-Петербурга
8430;Россия;Санкт-Петербург;"МОУ ""Инженерно-технологическая школа"""
8431;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8432;Россия;Санкт-Петербург;ГБОУ СОШ №625 Невского района Санкт-Петербурга
8433;Россия;Иркутск;РЖД лицей № 14
8434;Россия;Красноярск;МАОУ СШ № 144
8435;Россия;Череповец;"МАОУ ""СОШ № 9 с УИОП"""
8436;Россия;Санкт-Петербург;ГБОУ школа № 690 Невского района Санкт-Петербурга
